Student Review,Experience (years),No. of Research Papers Published,Seminars Taken,Events,Attendance (%),Appraisal (%)
2,5,14,2,9,82.21,8.65
1,13,2,5,1,88.97,8.08
7,10,3,5,10,89.07,8.59
7,5,9,7,6,92.02,9.21
8,15,8,1,8,85.1,9.01
5,3,14,0,0,79.24,8.28
3,15,5,3,3,82.65,8.13
8,15,14,6,5,94.66,10.48
6,10,14,10,6,88.14,9.7
3,5,4,9,9,90.07,8.37
1,4,2,2,6,78.13,6.83
3,3,8,2,9,86.81,8.32
5,5,4,4,1,78.64,7.32
3,4,4,4,3,87.68,7.91
1,4,13,9,4,93.65,9.38
5,8,3,2,0,94.46,8.55
10,14,13,8,0,87.19,9.78
7,3,3,3,9,85.79,7.94
7,4,11,2,19,94.07,9.71
9,8,40,10,9,89.45,12.84
10,5,6,1,2,79.1,7.84
10,6,8,9,7,85.92,8.9
3,38,2,10,8,82.08,9.08
7,10,11,8,10,85.99,9.3
1,40,12,3,0,85.74,10.16
4,9,14,2,10,87.9,9.43
4,9,1,6,1,84.07,7.59
5,5,2,7,9,80.79,7.49
7,12,0,10,1,86.56,8.08
7,12,5,1,3,92.11,8.93
4,5,10,6,1,89.29,8.81
7,4,10,4,6,83.75,8.56
3,14,6,10,8,93.9,9.32
6,3,10,4,6,93.51,9.23
2,9,10,2,5,81.56,8.27
10,9,1,4,9,78.67,7.64
9,14,7,1,0,90.6,9.19
5,4,13,3,10,92.07,9.5
6,9,5,12,9,94.45,9.25
4,15,13,0,8,77.24,8.68
10,10,3,9,4,88.21,8.66
7,3,4,3,10,87.01,8.17
9,11,7,5,4,78.47,8.24
7,9,13,8,5,82.19,9.07
1,5,2,10,8,85.81,7.69
1,10,2,10,7,88.68,8.13
9,9,13,1,7,87.47,9.51
9,13,14,10,7,90.62,10.24
4,15,13,6,0,53.96,6.8
9,10,10,5,0,87.6,9.17
3,8,3,1,7,79.5,7.36
7,11,0,7,4,85.03,7.91
6,7,8,6,8,90.75,9.06
8,5,7,10,1,89.79,8.84
9,5,7,4,8,94.84,9.32
5,3,13,4,7,78.52,8.33
1,14,9,6,8,86.47,8.87
3,10,5,8,3,62.81,6.41
10,4,6,10,0,85.49,8.43
8,5,5,22,0,92.57,9.05
6,10,15,8,4,89.63,9.85
8,10,8,5,1,66.04,7.2
9,13,2,9,7,81.46,8.16
4,6,13,5,9,92.85,9.61
1,6,2,2,10,79.02,7.08
1,7,2,0,4,93.11,8.08
10,8,9,6,4,83.59,8.81
4,7,2,3,1,76.6,6.95
7,9,8,0,6,86.71,8.73
2,4,11,7,7,93.99,9.27
3,9,3,5,9,78.81,7.47
1,12,12,5,0,83.99,8.73
5,9,6,1,1,92.56,8.78
1,3,13,0,9,84.73,8.55
8,9,14,1,3,81.39,9
1,7,8,3,4,85.22,8.18
1,17,10,1,1,84.55,8.73
2,15,11,0,0,93.56,9.48
2,5,6,6,8,90.95,8.52
6,6,8,10,0,86.59,8.6
7,15,11,10,3,94.8,10.13
5,14,2,7,1,85.91,8.16
1,4,14,5,10,78.99,8.37
1,4,3,3,3,82.46,7.25
3,3,13,5,7,85.41,8.78
2,7,7,2,7,80.67,7.81
5,6,5,7,10,94.11,8.94
10,13,4,9,8,91.04,9.22
6,12,12,1,10,82.56,9.03
7,4,3,4,4,88.04,8.09
4,5,7,0,6,90.26,8.54
7,9,0,5,2,94,8.44
8,9,13,1,9,92.99,13.2
1,39,8,3,14,86.76,10.03
6,30,15,5,9,91.17,10.96
8,7,0,9,8,57.02,5.67
5,7,7,10,16,87.4,8.86
4,8,3,7,9,79.95,7.61
2,11,8,7,0,80.14,8.03
6,4,13,10,1,87,9.11
6,7,10,5,4,82.57,8.53
1,14,4,3,2,78.36,7.49
9,5,2,7,1,90.29,8.32
6,27,8,7,0,78.55,8.9
3,12,10,9,9,88.12,9.21
4,8,13,0,2,87.17,9.02
4,14,13,3,0,94.47,9.9
3,10,8,3,0,86.23,8.45
10,3,3,6,0,79.08,7.47
3,12,10,10,7,87.38,9.13
3,10,3,6,2,92.3,8.47
4,13,11,10,10,94.95,10.01
7,9,7,7,0,85.32,8.53
4,3,1,10,6,83.45,7.43
9,4,8,4,9,93.41,9.29
1,5,12,6,2,81.25,8.24
8,3,13,7,7,88.46,9.36
7,11,5,8,3,84.9,8.45
2,10,8,2,3,78.7,7.83
8,4,7,2,4,83.9,8.22
1,15,14,3,5,82.51,9.04
9,11,14,4,6,89.66,9.93
9,9,6,9,3,94.13,9.34
2,11,15,0,7,82.56,9
7,8,12,6,5,91.79,9.63
10,8,13,8,0,78.94,8.84
3,13,0,7,0,87.15,7.85
7,6,15,4,8,79.2,8.89
10,12,13,3,9,93.88,10.3
9,12,11,6,5,91.03,9.77
4,15,2,4,9,89.19,8.51
1,15,10,6,7,92.01,9.44
2,4,15,0,6,89.01,9.16
1,9,13,0,5,94.47,9.53
5,7,1,9,3,90.14,8.13
5,13,4,2,6,93.72,8.96
7,8,14,10,8,86.79,9.6
9,4,4,1,10,83.43,8.01
9,7,4,1,9,60.39,6.3
3,12,15,6,9,80.16,9.07
3,6,3,9,6,88.07,8.08
3,11,4,1,0,86.2,8.01
4,8,2,10,9,88.58,8.25
8,4,11,3,8,78.17,8.31
6,3,0,1,3,81.31,7.03
8,7,4,5,2,86.35,8.25
1,11,12,7,3,94.16,9.59
8,8,8,9,3,84.52,8.69
4,12,12,3,9,85.21,9.14
1,14,8,4,18,90.15,9.21
8,9,3,3,1,58.15,5.93
4,7,2,17,0,83.08,7.72
6,12,0,4,9,84.98,7.93
8,8,1,8,0,81.7,7.61
4,7,7,7,7,94.42,9.12
3,13,15,7,1,50.02,6.59
9,11,0,7,9,84.32,8.07
3,8,7,7,4,78.44,7.78
9,13,12,6,3,81.77,9.16
2,10,6,7,7,91.27,8.78
2,4,25,10,1,81.42,9.77
2,14,7,7,9,79.36,8.18
6,15,11,7,8,86.07,9.42
3,11,5,9,6,78.17,7.76
9,7,11,6,6,79.44,8.63
4,9,13,0,0,91.73,9.39
1,12,14,3,1,91.12,9.5
4,15,14,3,3,93.56,10.05
1,3,8,4,3,92.53,8.57
5,40,2,9,10,89.61,9.91
4,7,9,5,2,78.89,7.97
8,14,3,3,6,91.31,8.9
8,12,12,1,7,92.37,9.87
7,4,5,5,1,91.58,8.55
3,14,7,7,3,86.64,8.7
1,35,4,7,2,81.96,8.85
1,13,2,6,1,92.37,8.37
3,3,5,5,5,90.36,8.25
6,5,3,1,3,94.67,8.52
7,7,8,6,5,80.65,8.26
6,6,12,10,1,81.84,8.69
6,5,2,4,3,81.6,7.43
6,12,3,5,10,91.47,8.82
3,15,6,9,5,81.18,8.28
6,7,6,7,4,79.13,7.85
8,13,11,7,2,94.98,10.03
2,10,11,2,7,78.42,10.93
5,13,3,6,6,92.2,8.8
1,6,5,0,2,84.21,7.62
1,3,11,0,5,92.31,8.85
5,13,12,6,3,87.43,9.37
3,9,2,9,10,93.33,8.61
4,10,5,8,4,93.75,8.95
3,5,11,6,10,78.15,8.16
1,8,1,9,4,93.14,8.2
1,4,7,4,6,82.26,7.75
5,9,1,7,10,89.38,8.27
6,10,10,1,4,93.1,9.43
3,8,6,8,10,85.82,8.39
9,8,8,5,2,88.32,8.95
5,7,0,8,9,81.2,7.41
8,10,7,1,4,91.68,9.1
1,3,6,2,6,94.44,8.52
5,12,5,7,4,82.57,8.19
3,6,5,0,4,86.41,7.96
1,6,5,9,8,79.46,7.54
4,5,8,6,2,87.51,8.47
5,5,1,6,5,86.55,7.73
7,6,0,0,0,80.46,7.09
1,13,12,8,9,85.52,9.13
3,3,11,7,4,83.68,8.4
2,13,5,3,7,86.87,8.39
9,15,9,9,4,87.96,9.49
10,13,10,10,8,69.31,8.18
6,4,7,4,10,90.94,8.82
10,11,2,1,5,90.12,8.61
3,30,11,8,7,84.23,9.81
8,4,9,5,9,78.9,8.21
8,20,0,2,11,90.83,8.89
2,11,8,6,2,94.24,9.17
6,11,12,22,6,82.08,9.28
7,10,12,2,6,83.5,9.01
2,18,0,1,9,81.12,7.61
10,3,2,6,5,87.81,8.15
2,11,7,6,6,80.63,8.06
10,15,13,3,1,84.06,9.5
1,13,2,10,8,89.85,8.39
8,10,15,8,9,65.07,8.12
1,12,12,7,9,84.57,11.96
9,11,3,0,0,85.14,8.15
6,9,7,0,0,87.56,8.51
7,33,0,4,2,78.1,8.3
10,5,12,5,2,79.33,8.6
7,4,12,2,0,92.98,9.36
10,7,5,8,6,79.32,8.06
3,14,0,9,3,90.02,8.23
2,14,13,5,9,93.64,9.94
9,5,0,3,1,82.6,7.41
8,8,13,6,9,84.3,9.29
10,4,7,7,4,87.67,8.74
7,14,38,8,5,92.99,12.94
9,5,3,10,8,94.01,8.92
4,7,11,5,3,90.57,9.14
4,14,0,5,1,79.47,7.33
1,13,9,7,4,89.38,8.99
8,13,6,4,2,84.98,8.62
3,3,4,2,1,86,7.65
7,15,4,2,0,78.84,7.87
2,3,0,5,9,81.25,6.99
2,12,15,1,1,91.44,9.65
7,11,13,5,5,85.72,9.38
6,9,9,5,7,77.62,8.18
3,3,10,7,2,84.53,8.32
9,14,5,6,10,92.52,9.42
10,10,13,7,8,90.73,10.01
6,5,8,8,8,82.63,8.36
10,10,8,5,1,80,8.43
10,7,7,2,7,82.28,8.41
6,3,4,9,9,93.65,8.73
1,9,0,2,10,87.89,7.7
4,7,8,10,12,87.07,8.81
10,8,0,0,3,71.51,8.92
6,8,7,10,9,84.22,8.58
6,10,4,4,15,91.72,8.93
5,11,2,3,3,86.9,8.06
1,4,10,8,7,79.98,8.01
8,11,6,8,3,80.19,8.25
5,14,6,4,9,87.13,8.8
5,13,8,9,5,93.92,9.54
7,12,6,3,1,83.24,8.34
4,11,12,6,4,92.78,9.66
6,15,15,5,5,59.52,7.66
4,12,10,3,4,82.21,8.58
3,12,13,9,1,78.62,11.48
7,9,2,1,6,79.73,7.53
8,3,10,0,3,90.38,8.96
4,9,12,3,7,81.39,8.66
2,12,14,3,6,84.31,9.11
10,7,13,0,6,86.53,9.36
3,8,12,5,8,90.33,9.32
1,12,40,3,0,79.92,11.48
8,9,7,0,9,84.91,8.6
3,7,11,0,5,86.25,8.68
10,9,2,0,5,87.19,10.99
7,11,11,7,5,91.91,9.69
10,5,7,9,5,80.92,8.31
5,10,7,7,9,91.73,9.15
10,4,12,1,6,89.78,9.38
5,13,4,10,9,87.45,8.68
7,9,12,6,5,89.89,9.53
9,15,11,7,0,85,9.36
5,4,12,7,2,80.35,8.38
1,6,15,10,1,89.32,9.32
10,9,0,9,5,86.92,8.2
10,5,12,10,7,88.87,9.56
1,4,9,6,2,83.75,8.05
2,13,6,4,9,87.92,8.64
6,33,11,0,7,87.99,10.27
9,9,9,8,7,79.45,8.57
8,3,4,6,4,85.65,8.06
5,10,7,1,7,81.13,8.15
1,5,8,5,5,67.75,6.76
7,14,10,1,4,86.41,9.15
5,14,13,0,8,93.21,9.96
6,15,6,6,16,98.2,9.97
7,4,13,1,7,84.98,8.95
3,5,12,1,0,93.28,9.17
10,7,14,10,10,93.24,10.28
3,13,6,4,1,89.66,8.68
5,10,0,4,7,92.6,8.34
6,39,14,6,8,79.51,10.36
9,9,3,0,3,92.7,8.71
5,9,1,7,9,83.45,7.78
1,14,44,2,10,95.2,13.41
4,9,1,3,9,82.07,7.53
5,10,3,8,8,85.11,8.18
10,3,13,3,3,82.27,8.83
10,6,0,9,9,83.45,7.86
5,15,14,4,9,80.29,9.2
7,8,3,6,9,83.04,8.02
4,11,1,3,8,87.73,8.05
1,15,4,0,10,85.51,8.2
5,4,2,8,6,83.89,7.65
7,3,14,3,1,90.69,9.39
10,15,11,8,8,93.19,10.24
10,40,7,5,3,90.87,10.65
6,14,3,0,7,83.64,8.13
5,4,0,2,6,90.66,10.43
4,9,0,10,6,80.58,7.38
2,5,11,1,7,80.22,8.1
4,12,9,8,0,83.88,8.62
10,4,2,0,4,90.29,8.25
10,13,14,8,1,82.19,9.47
3,9,8,12,1,79.08,8.03
10,15,6,7,0,80.24,8.48
1,15,1,7,17,92.6,8.71
8,4,14,10,1,88.77,9.48
5,5,12,0,3,82.3,8.46
4,13,8,10,2,87.44,8.92
8,9,9,7,2,86.97,8.98
7,6,1,9,1,97.42,8.74
2,15,2,2,5,81.96,7.7
1,3,10,10,1,92.69,8.89
4,15,12,6,7,83.26,9.15
8,7,38,10,7,89.8,12.49
2,14,13,0,4,78.27,8.52
3,11,1,0,9,84.34,7.68
1,10,2,9,6,83.98,7.72
1,14,5,4,3,87.24,8.34
3,11,8,4,0,79.24,7.96
5,12,8,7,10,91.43,9.35
3,11,6,6,1,81.7,7.99
1,9,11,7,9,89.51,9.13
1,6,2,5,9,91.65,8.12
8,7,3,5,3,87.55,8.25
10,3,5,1,0,90.6,8.5
2,3,10,5,7,89.25,8.69
3,5,4,4,8,84.04,7.77
2,15,1,2,3,91.75,8.32
3,10,12,5,9,83.01,8.85
7,4,5,7,2,87.71,8.3
1,6,2,8,1,90.67,7.94
10,4,15,0,4,84.44,9.23
8,7,13,20,2,83.15,9.29
10,11,7,2,9,85.81,8.92
10,3,1,10,6,91.91,8.46
10,7,0,7,10,93.81,8.71
2,11,8,0,5,87.27,8.56
3,3,13,4,0,89.24,8.93
9,11,11,2,7,93.36,9.87
7,10,2,1,1,79.68,7.48
4,6,10,7,4,81.95,8.36
10,14,0,25,8,90.05,9.06
5,13,6,6,7,92,9.14
2,12,12,10,1,92.57,9.59
8,7,14,0,8,85.06,9.27
4,15,9,5,4,75.2,8.1
9,7,4,2,9,85.44,8.31
5,13,4,7,5,81.92,8.1
9,14,13,5,2,82.95,9.37
4,8,0,1,2,91.13,7.91
10,9,14,5,9,79.28,9.15
5,10,14,6,7,92.07,9.89
9,10,8,4,10,85.27,8.94
8,13,6,2,9,88.13,8.97
3,15,7,3,9,79.52,8.22
1,4,8,3,1,83.74,7.86
3,11,5,5,10,79.52,7.87
4,9,11,9,1,94.35,9.57
2,6,4,0,4,91.72,8.21
1,6,5,10,5,85.81,8.01
7,13,10,3,1,81.8,8.72
8,10,1,9,4,93.87,8.77
7,6,3,3,16,83.86,8.07
5,15,2,9,9,80.74,8
1,8,12,0,9,87.57,8.9
7,7,6,8,7,94.04,9.18
7,5,8,3,6,78.07,10.53
9,15,4,6,7,82.05,8.46
3,12,5,2,8,93.95,8.96
9,13,9,11,4,80.91,8.87
1,4,13,2,4,79.93,8.16
1,11,11,7,10,87.69,9.1
4,12,11,7,9,92.65,9.7
9,11,1,10,3,86.11,8.26
6,3,15,0,8,94.91,9.86
3,12,2,9,4,89.55,8.34
1,5,2,1,1,79.26,6.85
4,10,11,7,9,94.88,9.78
9,8,11,0,7,84.93,9.02
3,29,14,7,6,86.02,10.2
9,7,8,7,7,87.48,8.98
7,8,14,1,2,83.17,9.01
4,9,6,3,3,79.47,7.76
3,3,7,5,4,78.02,7.47
10,11,10,10,5,85.64,9.32
5,5,15,8,0,92.23,9.68
5,6,15,7,3,87.73,9.41
3,12,9,7,10,94.99,9.62
9,3,10,6,9,82.88,8.66
4,15,8,8,4,82.77,8.65
5,13,5,1,6,80.72,8.02
4,12,3,2,4,80.79,7.67
5,5,11,9,19,82.85,8.89
7,4,0,7,10,91.48,8.2
9,4,7,12,6,93.4,9.27
7,37,45,9,7,94.58,15
5,10,1,8,6,81.95,7.67
10,5,7,9,10,92.98,9.37
10,5,11,3,3,83.58,8.81
7,8,4,7,7,79.92,7.86
10,15,6,9,4,92.79,9.6
5,10,3,2,9,88.81,8.37
3,15,4,2,8,80.8,7.95
7,11,7,26,9,85.31,9.18
2,11,0,4,4,82.88,7.38
9,6,0,2,0,90.53,8.04
10,7,14,9,8,85.71,9.62
10,4,3,10,4,94.82,8.92
1,13,2,0,5,78.93,7.26
6,11,12,2,3,84.04,8.98
7,10,9,8,5,86.19,8.99
8,5,11,4,7,86.55,9.02
10,13,1,9,2,83.37,8.16
9,14,11,1,4,90.4,9.7
2,15,2,6,1,92.87,8.56
10,11,10,1,1,93.96,9.73
2,5,14,3,6,91.69,9.37
5,11,14,6,9,92.46,10.01
5,4,10,3,9,87.36,8.77
6,14,13,6,10,92.04,10.09
3,12,10,6,9,63.26,7.18
8,11,0,0,5,84.77,7.83
1,10,0,5,3,83.39,7.31
6,11,5,8,4,85.95,8.49
4,7,15,1,0,82.85,8.83
1,13,4,2,6,94.35,8.77
7,13,7,9,7,83.32,8.74
9,4,1,4,8,79.67,7.4
4,10,15,8,7,86.96,9.58
4,14,3,3,4,78.97,7.64
6,8,7,0,2,79.88,7.89
3,10,11,3,9,81.73,8.6
6,13,5,5,10,85.89,8.65
7,7,0,4,8,85.37,7.76
10,32,14,0,5,91.59,11.04
10,4,3,3,4,90.57,8.44
3,8,0,5,2,85.25,7.46
7,7,12,9,5,83.67,9
3,14,1,9,2,83.38,7.79
2,15,4,3,9,91.16,8.75
10,20,13,8,5,78.89,9.51
4,21,7,4,3,78.22,8.36
8,15,7,7,1,91.52,12.49
9,3,10,8,7,86.11,8.92
7,21,2,9,3,80.22,8.24
1,10,10,4,8,82,8.39
3,15,12,5,6,93.85,9.89
9,15,3,0,1,92.61,8.95
1,5,9,10,3,90.07,8.7
9,12,10,6,4,86.2,9.26
8,5,13,3,2,86.85,9.15
1,10,5,10,8,94.58,8.95
6,10,10,1,4,94.42,9.54
5,4,15,4,1,81.66,8.73
6,10,10,2,10,91.79,9.47
10,13,9,5,2,81.35,8.81
5,15,2,7,8,81.63,8.01
6,15,1,6,6,89.49,8.52
5,3,5,2,1,84.89,7.79
5,8,10,7,8,93.84,9.53
4,10,12,1,3,79.51,8.44
3,5,14,9,8,86.7,9.19
3,10,4,8,1,93.61,8.71
4,14,13,3,9,93.37,10
9,3,9,0,3,80.66,8.14
2,13,4,7,4,84.23,8.08
9,13,9,6,17,88.53,9.64
1,11,12,10,9,80.71,8.7
1,15,4,4,0,94.46,11.69
5,13,9,9,6,93.55,9.64
6,15,11,4,9,80.84,8.97
6,11,4,6,0,80.06,7.8
3,7,2,4,10,79.45,7.32
7,12,6,7,10,93.46,9.41
9,6,5,10,7,81.29,8.16
10,13,3,5,2,85.08,8.44
8,8,1,4,9,85.63,10.67
6,14,11,8,5,88.18,9.5
8,9,8,10,6,79.22,8.4
5,7,0,1,9,81.85,7.32
8,13,12,0,0,93.84,9.87
10,15,12,7,5,93.44,10.3
4,12,10,2,6,91.28,9.32
10,39,14,10,5,78.33,10.52
8,5,13,6,3,83.56,8.97
10,9,3,9,14,88.68,8.85
2,12,42,10,10,82.68,12.31
5,12,12,7,8,93.46,9.92
9,13,15,5,3,88.78,10.02
4,7,15,9,6,79.22,8.82
6,9,5,8,6,93.45,9.03
1,4,3,6,1,94.28,8.2
9,36,4,9,0,79.32,9.17
1,4,4,4,7,87.05,7.82
5,15,8,7,7,83.16,8.78
4,15,0,1,6,84.68,7.81
3,14,12,14,7,81.05,9.03
6,9,1,3,2,52.19,5.14
2,4,12,8,10,94.29,9.48
3,15,5,0,1,86.55,8.34
5,13,4,6,17,79.41,8.12
9,3,10,5,7,72.22,7.76
2,11,6,7,0,83.78,8.1
10,3,2,4,9,92.55,8.56
8,10,2,0,8,85.39,8.11
2,4,9,0,10,81.28,7.96
5,14,1,8,3,81.25,7.74
7,10,15,9,3,91.07,10.02
8,15,12,5,2,82.51,9.21
1,5,2,9,5,91.04,8.02
6,8,9,4,0,81.5,8.28
1,5,0,0,5,83.47,7.02
2,9,4,5,1,85.91,7.93
1,12,13,5,8,94.03,9.8
5,16,14,2,1,93.84,10.12
10,4,11,7,6,81.52,8.73
9,14,4,0,0,84.09,8.32
6,14,11,0,6,80.54,8.76
1,7,10,5,4,86.67,8.56
1,15,6,9,7,51.17,5.82
2,8,3,0,3,93.31,8.3
9,6,2,5,9,93.81,8.77
3,6,0,0,6,84.52,7.29
1,6,11,5,5,86.36,8.62
5,4,14,24,4,93.24,10
7,6,7,7,3,91.71,8.96
6,13,12,5,6,78.06,8.72
1,3,2,10,4,83.44,7.32
5,14,12,0,4,85.17,9.14
5,8,14,4,0,81.91,8.81
6,3,1,7,1,81.39,7.23
3,12,10,2,4,78.64,8.22
5,8,3,30,2,88.94,8.7
7,3,2,4,1,82.46,7.42
5,8,12,5,3,78.89,8.43
5,12,0,9,3,92.12,8.42
5,10,2,0,3,91.63,8.33
10,13,11,6,3,92.48,9.95
10,4,1,8,2,86.21,7.94
3,4,7,1,6,85.07,8.04
1,15,5,9,8,94.62,9.18
5,14,8,4,4,81.41,8.47
9,6,7,9,3,81.66,8.32
1,13,9,3,10,90.97,9.16
3,5,2,5,1,80.94,7.18
4,6,4,5,1,84.45,7.79
1,17,6,10,4,93.48,9.23
1,14,41,1,6,88.46,12.44
8,26,7,1,9,85,9.44
2,15,11,3,9,93.88,9.74
8,13,4,0,8,78.82,7.95
7,3,0,8,6,81.57,7.31
10,8,4,6,4,87.62,8.57
10,5,48,6,9,88.46,17.93
2,13,5,19,9,78.67,8.09
6,12,2,10,9,84.85,8.26
6,9,14,2,5,89.04,12.7
3,12,15,0,10,89.87,9.75
2,4,32,2,2,88.85,10.99
1,4,4,2,4,83.45,7.44
6,15,1,3,7,79.59,7.7
5,6,10,12,0,85.26,8.7
9,3,5,2,0,80.19,7.64
1,5,12,9,6,94.11,9.4
7,15,14,7,4,86.08,9.73
5,11,11,7,4,83.39,8.88
5,9,5,0,0,91.03,8.5
2,9,4,6,8,86.47,8.13
3,15,5,10,0,83.27,8.25
7,15,10,1,4,91.8,9.63
6,13,6,0,9,92.74,9.18
2,6,11,2,8,89.44,8.92
6,4,4,3,3,78.8,7.36
2,6,0,5,7,87.63,7.6
2,8,7,9,5,90.98,8.77
2,13,3,4,10,80.32,7.72
3,13,8,3,2,81.89,8.28
2,5,13,7,3,93,9.38
4,3,9,10,1,78.34,7.82
9,14,11,3,0,90.8,9.69
6,10,5,9,7,86.05,8.53
1,14,0,1,0,85.6,7.54
8,15,2,2,10,78.12,7.85
7,7,2,5,0,91.93,8.37
10,7,9,7,3,84.12,8.8
3,13,15,7,9,87.19,9.7
1,6,11,10,9,89.51,9.05
5,8,11,8,5,89.94,9.3
4,5,3,6,8,95.28,8.65
10,11,15,1,0,87.03,9.71
8,7,5,7,6,84.8,8.35
1,5,14,6,9,94.21,9.63
10,13,6,7,10,88.92,9.27
1,3,9,2,4,83.07,7.91
4,12,3,6,7,80.15,7.76
8,14,5,9,6,92.32,9.32
5,8,10,8,3,84.16,8.69
2,4,0,2,3,89.23,7.49
6,15,13,9,5,86,9.62
5,5,19,5,5,81.38,9.3
2,3,6,1,8,88.23,8.11
3,11,14,1,4,79.03,8.63
9,20,10,4,7,85.03,9.56
7,30,10,4,4,87.29,10.04
7,4,15,6,1,85.41,9.19
6,14,8,1,5,90.73,9.23
8,13,2,10,8,92.07,11.94
4,10,1,6,2,91.11,8.21
8,14,0,4,0,78.66,7.46
4,35,2,5,0,81.3,8.68
8,3,4,7,2,87.12,8.16
9,15,13,9,9,93.89,13.97
3,7,10,3,4,92.19,9.08
3,10,1,6,2,92.32,8.25
2,13,11,5,8,83.15,8.82
10,4,2,9,7,85.3,8.09
3,6,14,1,2,86,8.9
3,9,14,7,8,80.68,8.86
5,5,14,9,5,78.53,8.6
5,15,3,8,6,94.1,9.09
2,14,6,4,3,82.09,8.11
10,35,12,9,3,82.08,10.35
6,10,2,3,1,79.42,7.44
5,14,15,5,4,93.78,13.63
6,12,14,7,7,87.86,9.73
1,5,8,10,6,89.34,8.59
5,6,7,2,6,93.5,8.94
9,11,3,9,5,83.88,8.33
10,9,12,10,2,88.57,9.62
2,3,0,10,4,78.66,6.78
1,14,0,0,0,81.18,7.17
10,6,0,3,6,54.73,5.4
9,6,0,3,8,91.04,8.26
10,11,15,0,0,83.96,12.57
9,8,7,8,1,84.41,8.57
9,11,2,2,2,87.07,8.27
6,14,14,4,2,78,8.89
8,8,5,5,7,82.1,8.17
1,8,2,7,6,81.54,7.39
10,7,10,5,5,82.26,8.77
4,7,4,2,9,91.7,8.51
1,4,12,5,9,82.75,8.43
8,10,14,0,10,81.26,9.15
